contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,"July 31, 2019","July 31, 2019",1-Year (12 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits/Revenue damages",NOT FOUND,"Vayyar Imaging Ltd | Inde Living Holdings, Inc",Yes | Notice: Not specified | Either Party | Without Cause
"MetLife, Inc. - Remarketing Agreement","August 26, 2014",NOT FOUND,Event-Based Termination,"New York, United States",NOT FOUND,Yes | Cap: Total price at which Securities were remarketed minus damages already paid,NOT FOUND,"Deutsche Bank Trust Company America | Deutsche Bank Securities Inc. | MetLife, Inc.",NOT FOUND
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"April 14, 2014","April 14, 2014",Perpetual,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Zebra Technologies Corporation | Motorola Solutions, Inc.",NOT FOUND
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,"September 09, 1997",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Galacticomm | Horst Entertainment Inc,NOT FOUND
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,"April 14, 2020","April 14, 2020",Until Completion of Program/Milestones,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"OntoChem GmbH | Anixa Biosciences, Inc",Yes | Notice: 30 days | Without Cause
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,"January 01, 1998","January 01, 1998",Co-terminous with Related Agreement,"Massachusetts, United States",NOT FOUND,NOT FOUND,NOT FOUND,"FIIOC | NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION | FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC",Yes | Notice: 90 days | Initiating Party: FIIOC
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,"September 24, 2013","September 24, 2013",10-Year (120 months) Initial Term,Israel,NOT FOUND,NOT FOUND,NOT FOUND,Yaskawa Electric Corporation | Argo Medical Technologies Ltd,Yes | Notice: 60 days | Either Party
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION,NOT FOUND,NOT FOUND,Until Terminated,NOT FOUND,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits/Revenue damages | Cap: [***] | Exceptions: Indemnification Obligations","Yes | Scope: Non-Solicitation, No-Hire",Centre for Probe Development and Commercialization (CPDC) | FUSION Pharmaceuticals Inc.,Yes | Notice: Redacted | Initiating Party: FUSION | Without Cause
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,"March 24, 2006","April 01, 2006","April 01, 2008 (24-month initial term)",United States,NOT FOUND,NOT FOUND,NOT FOUND,"Data Call Technologies, Inc | PLAN_B MEDIA AG",NOT FOUND
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT,"January 11, 2001",NOT FOUND,NOT FOUND,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits/Revenue damages | Exceptions: Confidentiality Breach",NOT FOUND,MediWound Ltd | Challenge Bioproducts Corporation Ltd,Yes | Notice: 6 / 24 months (varies by party) | Initiating Party: MediWound
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,"December 23, 2019","December 23, 2019","5-Year (60 months) Initial Term, Auto-Renewal","New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Indirect, Lost Profits/Revenue damages | Exceptions: Confidentiality Breach, Indemnification Obligations","Yes | Restricted Party: T&B and Affiliates | Duration: During the Term | Scope: Non-Competition, Exclusivity","Legacy Education Alliance Holdings, Inc | T&B Seminars, Inc",NOT FOUND
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,"January 19, 1998","January 19, 1998",Perpetual,Netherlands,NOT FOUND,"Yes | Excludes: Consequential, Indirect damages | Exceptions: Gross Negligence",NOT FOUND,"MODUS MEDIA INTERNATIONAL | DRAGON SYSTEMS, INC",Yes | Notice: 60 days | Initiating Party: Dragon | Without Cause
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,"October 11, 2019","October 11, 2019",1-Year (12 months) Initial Term or Until Project Completion,"New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Exceptions: Indemnification Obligations",NOT FOUND,"B C Marketing Concepts Inc | Reed's, Inc",NOT FOUND
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"May 20, 1992",NOT FOUND,10-Year (120 months) Initial Term,"Arkansas, United States",NOT FOUND,NOT FOUND,NOT FOUND,Arkansas Western Pipeline Company | Associated Natural Gas Company,NOT FOUND
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,"November 14, 2017","November 14, 2017","1-Year (12 months) Initial Term, Auto-Renewal","Michigan, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: Talent | Duration: During the Term, in the Territories | Scope: Non-Competition (no competing endorsements)","Eco Science Solutions, Inc. | Stephen Marley",NOT FOUND
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,NOT FOUND,"January 04, 2011",1-Year (12 months) Initial Term,Israel,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive damages",NOT FOUND,INVASIX LTD | FLEXTRONICS ISRAEL LTD,Yes | Notice: 4 months | Either Party | Without Cause
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT,NOT FOUND,NOT FOUND,12-Month Term,NOT FOUND,NOT FOUND,NOT FOUND,"Yes | Restricted Party: AVDU | Duration: 24 months post-termination | Scope: Non-Competition, Non-Solicitation",UTEK Corporation | World Energy Solutions,Yes | Notice: 30 days | Either Party
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement","November 30, 2017",NOT FOUND,"12-Month Term, Auto-Renewal","Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Bravatek Solutions, Inc | Sibannac, Inc",Yes | Notice: 90 days | Either Party
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement","February 13, 2018","February 13, 2018",5-Year (60 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect damages | Cap: THE AMOUNT [***] | Exceptions: Gross Negligence, Willful Misconduct, IP Infringement, Indemnification Obligations",NOT FOUND,"Magenta Therapeutics, Inc | Bachem Americas, Inc",Yes | Notice: Redacted | Without Cause
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,NOT FOUND,NOT FOUND,4-Year (48 months) Initial Term,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue, Special damages | Exceptions: Gross Negligence, Willful Misconduct, Fraud, Confidentiality Breach, IP Infringement, Indemnification Obligations","Yes | Scope: Non-Solicitation, No-Hire, Exclusivity",Upjohn Inc | Pfizer Inc,NOT FOUND
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,NOT FOUND,NOT FOUND,180-Day (6 months) Term,"Texas, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: Affiliate | Duration: During the Term | Scope: Non-Solicitation, Non-Competition","Payment Data Systems, Inc | NETWORK 1 FINANCIAL, INC",NOT FOUND
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR","October 01, 1996","October 01, 1996",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Ingram Micro | NETGEAR, Inc",NOT FOUND
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,"February 04, 2020","February 04, 2020",Until Completion of Program/Milestones,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits/Revenue damages | Exceptions: Confidentiality Breach, Indemnification Obligations",NOT FOUND,"Aimmune Therapeutics, Inc | Xencor, Inc",Yes | Notice: 60 days | Initiating Party: Aimmune
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,"July 31, 2019","July 31, 2019",Co-terminous with Related Agreement,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive damages | Cap: $[***] | Exceptions: Confidentiality Breach, IP Infringement, Indemnification Obligations",NOT FOUND,"Commnet Wireless, LLC | AT&T Mobility LLC",NOT FOUND
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,"March 30, 2011","March 30, 2011",Event-Based Termination (1 year after AIG sale of Company),"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"American International Group, Inc | American General Life Insurance Company",Yes | Notice: 30 days
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"salesforce.com, inc. | Salesforce.org",NOT FOUND
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,"May 25, 1999","May 25, 1999",Event-Based Termination,"Nevada, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: Agency | Duration: During the Term | Scope: Non-Competition, Exclusivity","Stratton, Cheeseman & Walsh-Nevada, Inc. | Mutual Insurance Corporation of America",NOT FOUND
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","March 27, 2019","March 27, 2019",10-Year (120 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Cap: THE AMOUNT OF SUCH PARTY'S INSURANCE COVERAGE FOR SUCH AGGREGATE LIABILITY | Exceptions: Gross Negligence, Willful Misconduct, Confidentiality Breach, IP Infringement",NOT FOUND,"Bellicum Pharmaceuticals, Inc | Miltenyi Biotec GmbH",Yes | Notice: 90 days | Initiating Party: Bellicum | Without Cause
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,NOT FOUND,NOT FOUND,"4-Year (48 months) Initial Term, Auto-Renewal",Hong Kong,NOT FOUND,NOT FOUND,NOT FOUND,"CHONGQING ZONGSHEN AUTOMOBILE INDUSTRY CO., LTD | ELECTRAMECCANICA VEHICLES CORP",NOT FOUND
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,"February 08, 2007","February 08, 2007",5-Year (60 months) Initial Term,China,NOT FOUND,NOT FOUND,NOT FOUND,"JingWei HengTong Technology | ShenZhen JingWei Communication Co., Ltd",Yes | Notice: 30 days | Initiating Party: Party A
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,"February 18, 2014","February 18, 2014",Perpetual,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"American International Group, Inc | American General Life Insurance Company",NOT FOUND
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,"NOT FOUND (2012, day/month blank)",NOT FOUND,Until Terminated,"Minnesota, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Redwater LLC | Twin Cities Power Holdings, LLC",Yes | Notice: 60 days | Initiating Party: The Company | Without Cause
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT,"March 21, 2008","November 01, 2007","October 31, 2008","California, United States",NOT FOUND,Yes | Cap: Aggregate remediation capped at Annual Payment made by Sponsor for that year,Yes | Restricted Party: SDBF (sponsor) | Duration: During the Term | Scope: Exclusivity,SAN DIEGO BALLPARK FUNDING LLC | Rubio's Fresh Mexican Grill,NOT FOUND
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"May 12, 2020","May 12, 2020",NOT FOUND,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Premier Biomedical, Inc | Technology Health, Inc | Marv Enterprises, LLC",NOT FOUND
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"January 13, 2005",NOT FOUND,See Contract Terms (redacted duration),"Kansas, United States",NOT FOUND,NOT FOUND,Yes | Restricted Party: Consultant | Duration: During the Term | Scope: Non-Competition (no endorsement of competing products),"TOM WATSON | ADAMS GOLF, LTD",NOT FOUND
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,"March 18, 2003","March 03, 2003",NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: Igene and T&L | Duration: During ownership of Operating Company | Scope: Non-Competition, Exclusivity","Tate & Lyle PLC | Tate & Lyle Fermentation Products Ltd. | Igene Biotechnology, Inc.",NOT FOUND
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,"January 02, 2020","January 02, 2020",1-Year (12 months) Initial Term or Until Project Completion,"Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Timothy Cabrera | Global Technologies, Ltd.",NOT FOUND
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,"January 22, 2007","January 22, 2007",2-Year (24 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits/Revenue damages | Exceptions: IP Infringement, Indemnification Obligations",NOT FOUND,"ScanSource, Inc | Cisco Systems, Inc",Yes | Notice: Redacted | Either Party | Without Cause
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,"January 01, 2009","January 01, 2009",NOT FOUND,Spain,NOT FOUND,Yes | Cap: Limited to contractual value as per clause 7.1,NOT FOUND,"Silicon Smelters (Pty) Ltd | ESPACIO INFORMATION TECHNOLOGY, SA",Yes | Notice: 3 months
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"November 01, 2019","November 01, 2019",Co-terminous with Related Agreement,"Illinois, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect damages | Exceptions: IP Infringement, Indemnification Obligations",NOT FOUND,REYNOLDS CONSUMER PRODUCTS LLC | PACTIV LLC,NOT FOUND
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,"January 01, 2004","January 01, 2004",Co-terminous with Advisory Agreement,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY,NOT FOUND
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,"November 03, 2010","November 03, 2010",Co-terminous with Related Agreement (the Lease),"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Exemplary, Indirect, Lost Profits/Revenue damages | Exceptions: Gross Negligence",NOT FOUND,"OMEGA REFINING, LLC | MAGELLAN TERMINALS HOLDINGS, L.P.",Yes | Notice: 7 days | Initiating Party: Owner | Without Cause
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT,"June 01, 2006","June 01, 2006",NOT FOUND,"Nevada, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect damages | Cap: the amount of the cost of the products",NOT FOUND,DGT Corp | Dolphin Industries Limited,NOT FOUND
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement","December 01, 2015","December 01, 2015","November 30, 2016",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Bosch International, LLC / XLI Technologies, Inc | RMF Empire, Inc",NOT FOUND
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT,"December 23, 2003","December 23, 2003","3-Year (36 months) Initial Term, Auto-Renewal","Texas, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Lost Profits/Revenue damages",NOT FOUND,Martin Operating Partnership L.P. | Midstream Fuel Service LLC,NOT FOUND
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,NOT FOUND,NOT FOUND,"December 31, 2034","Ohio, United States",IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,"NATIONAL FOOTBALL MUSEUM, INC. | HOF Village, LLC | HOF Village Media Group, LLC",NOT FOUND
