contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,NOT FOUND,NOT FOUND,Co-terminous with Related Agreement,"Massachusetts, United States",NOT FOUND,NOT FOUND,NOT FOUND,"FIIOC | NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION | FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC",Yes | Notice: Immediate | Initiating Party: FIIOC
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,"September 24, 2013","September 24, 2013",10-Year Initial Term,Israel,NOT FOUND,NOT FOUND,NOT FOUND,Yaskawa Electric Corporation | Argo Medical Technologies Ltd,Yes | Notice: 60 days | Either Party
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION,NOT FOUND,NOT FOUND,Until Terminated,NOT FOUND,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits damages | Cap: [***] | Exceptions: Indemnification obligations","Yes | Scope: Non-Solicitation, No-Hire",Centre for Probe Development and Commercialization (CPDC) | FUSION Pharmaceuticals Inc.,Yes | Notice: Not specified | Initiating Party: FUSION | Without Cause
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,"March 24, 2006","April 01, 2006","April 01, 2008",United States,NOT FOUND,NOT FOUND,NOT FOUND,"Data Call Technologies, Inc | PLAN_B MEDIA AG",NOT FOUND
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT,NOT FOUND,NOT FOUND,NOT FOUND,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits damages | Exceptions: Confidentiality Breach",NOT FOUND,MediWound Ltd | Challenge Bioproducts Corporation Ltd,Yes | Notice: 6 / 24 months (varies by party) | Initiating Party: MediWound
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,"December 23, 2019","December 23, 2019","5-Year Initial Term, Auto-Renewal","New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Indirect, Lost Profits damages | Exceptions: Confidentiality Breach, Indemnification obligations","Yes | Duration: if and as of the date that any month | Scope: Non-Solicitation, Exclusivity","Legacy Education Alliance Holdings, Inc | T&B Seminars, Inc",NOT FOUND
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,"January 19, 1998","January 19, 1998",Perpetual,Netherlands,NOT FOUND,"Yes | Excludes: Consequential, Indirect damages | Exceptions: Gross Negligence",NOT FOUND,"MODUS MEDIA INTERNATIONAL | DRAGON SYSTEMS, INC",Yes | Notice: Not specified | Initiating Party: Dragon | Without Cause
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,"October 11, 2019","October 11, 2019",See Contract Terms,"New York, United States",IP Non-Challenge Clause (not indemnification),"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages | Exceptions: Indemnification obligations",NOT FOUND,"B C Marketing Concepts Inc | Reed's, Inc",NOT FOUND
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"May 20, 1992",NOT FOUND,10-Year Initial Term,"Arkansas, United States",NOT FOUND,NOT FOUND,NOT FOUND,Arkansas Western Pipeline Company | Associated Natural Gas Company,NOT FOUND
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,NOT FOUND,NOT FOUND,"1-Year Initial Term, Auto-Renewal","Michigan, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Eco Science Solutions, Inc. | Stephen Marley",NOT FOUND
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,NOT FOUND,"January 04, 2011",See Contract Terms,Israel,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive damages",NOT FOUND,INVASIX LTD | FLEXTRONICS ISRAEL LTD,Yes | Notice: Immediate | Either Party | Without Cause
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT,NOT FOUND,NOT FOUND,Until Terminated,NOT FOUND,NOT FOUND,NOT FOUND,"Yes | Restricted Party: In turn, UTEK agrees that it | Duration: company developer for a period of 24 months | Scope: Non-Solicitation, No-Hire",UTEK Corporation | World Energy Solutions,Yes | Notice: 30 days | Either Party
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement",NOT FOUND,NOT FOUND,"12-Month Term, Auto-Renewal","Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Bravatek Solutions, Inc | Sibannac, Inc",Yes | Notice: Not specified | Either Party
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement","February 13, 2018","February 13, 2018",5-Year Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect damages | Cap: THE AMOUNT [***] | Exceptions: Gross Negligence, Willful Misconduct, IP Infringement, Indemnification obligations",NOT FOUND,"Magenta Therapeutics, Inc | Bachem Americas, Inc",Yes | Notice: Not specified | Without Cause
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,NOT FOUND,NOT FOUND,12-Month Term,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Special damages | Exceptions: Gross Negligence, Willful Misconduct, Fraud, Confidentiality Breach, IP Infringement, Indemnification obligations","Yes | Scope: Non-Solicitation, No-Hire, Exclusivity",Upjohn Inc | Pfizer Inc,NOT FOUND
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,NOT FOUND,NOT FOUND,180-Day Term,"Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Payment Data Systems, Inc | NETWORK 1 FINANCIAL, INC",NOT FOUND
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR","October 01, 1996","October 01, 1996",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Ingram Micro | NETGEAR, Inc",NOT FOUND
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,"February 04, 2020","February 04, 2020",Until Completion of Program/Milestones,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits damages | Exceptions: Confidentiality Breach, Indemnification obligations",NOT FOUND,"Aimmune Therapeutics, Inc | Xencor, Inc",Yes | Notice: Immediate | Initiating Party: Aimmune
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,NOT FOUND,NOT FOUND,See Contract Terms,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive damages | Cap: $[***] | Exceptions: Confidentiality Breach, IP Infringement, Indemnification obligations",NOT FOUND,"Commnet Wireless, LLC | AT&T Mobility LLC",NOT FOUND
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,"March 30, 2011","March 30, 2011",Perpetual,"New York, United States",NOT FOUND,Yes,NOT FOUND,"American International Group, Inc | American General Life Insurance Company",Yes | Notice: Immediate
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"salesforce.com, inc. | Salesforce.org",NOT FOUND
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,NOT FOUND,NOT FOUND,See Contract Terms,"Nevada, United States",NOT FOUND,NOT FOUND,"Yes | Restricted Party: attached Commission Schedule

                  in Nevada, A | Scope: Non-Competition, Exclusivity","Stratton, Cheeseman & Walsh-Nevada, Inc. | Mutual Insurance Corporation of America",NOT FOUND
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","March 27, 2019","March 27, 2019",10-Year Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits damages | Cap: THE AMOUNT OF SUCH PARTY'S INSURANCE COVERAGE FOR SUCH AGGREGATE LIABILITY | Exceptions: Gross Negligence, Willful Misconduct, Confidentiality Breach, IP Infringement",NOT FOUND,"Bellicum Pharmaceuticals, Inc | Miltenyi Biotec GmbH",Yes | Notice: Not specified | Initiating Party: Bellicum | Without Cause
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,NOT FOUND,NOT FOUND,"4-Year Initial Term, Auto-Renewal",Hong Kong,NOT FOUND,NOT FOUND,NOT FOUND,"CHONGQING ZONGSHEN AUTOMOBILE INDUSTRY CO., LTD | ELECTRAMECCANICA VEHICLES CORP",NOT FOUND
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,"February 08, 2007","February 08, 2007",5-Year Initial Term,China,NOT FOUND,NOT FOUND,NOT FOUND,"JingWei HengTong Technology | ShenZhen JingWei Communication Co., Ltd",Yes | Notice: 30 days | Initiating Party: Party A
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,"February 18, 2014","February 18, 2014",Perpetual,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"American International Group, Inc | American General Life Insurance Company",NOT FOUND
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,NOT FOUND,NOT FOUND,Until Terminated,"Minnesota, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Redwater LLC | Twin Cities Power Holdings, LLC",Yes | Notice: 30 / 60 / 90 days (varies by party) | Initiating Party: The Company or the Contractor
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT,"March 21, 2008","November 01, 2007","October 31, 2008","California, United States",NOT FOUND,Yes,NOT FOUND,SAN DIEGO BALLPARK FUNDING LLC | Rubio's Fresh Mexican Grill,NOT FOUND
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"May 12, 2020","May 12, 2020",NOT FOUND,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Premier Biomedical, Inc | Technology Health, Inc | Marv Enterprises, LLC",NOT FOUND
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"January 13, 2005",NOT FOUND,See Contract Terms,"Kansas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"TOM WATSON | ADAMS GOLF, LTD",NOT FOUND
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,"March 18, 2003","March 03, 2003",NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,Yes | Duration: 2 for a period of ten (10) years | Scope: Exclusivity,"Tate & Lyle PLC | Tate & Lyle Fermentation Products Ltd. | Igene Biotechnology, Inc.",NOT FOUND
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,NOT FOUND,NOT FOUND,"January 02, 2020","Florida, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Timothy Cabrera | Global Technologies, Ltd.",NOT FOUND
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,"January 22, 2007","January 22, 2007",2-Year Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits damages | Exceptions: IP Infringement, Indemnification obligations",NOT FOUND,"ScanSource, Inc | Cisco Systems, Inc",Yes | Notice: Not specified | Either Party | Without Cause
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,NOT FOUND,NOT FOUND,NOT FOUND,Spain,NOT FOUND,Yes | Cap: a value equal to contractual value as per clause 7,NOT FOUND,"SILICON SMELTERS << Pty >> Ltd | ESPACIO INFORMATION TECHNOLOGY, SA",Yes | Notice: Immediate
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"November 01, 2019","November 01, 2019",See Contract Terms,"Illinois, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect damages | Exceptions: IP Infringement, Indemnification obligations",NOT FOUND,REYNOLDS CONSUMER PRODUCTS LLC | PACTIV LLC,NOT FOUND
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,"January 01, 2004","January 01, 2004",Until Terminated,"Pennsylvania, United States",NOT FOUND,Yes,NOT FOUND,FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY,NOT FOUND
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,NOT FOUND,NOT FOUND,Until Terminated,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Exemplary, Indirect damages | Exceptions: Gross Negligence",NOT FOUND,"OMEGA REFINING, LLC | MAGELLAN TERMINALS HOLDINGS, L.P.",Yes | Notice: Immediate | Initiating Party: Owner | Without Cause
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT,NOT FOUND,NOT FOUND,NOT FOUND,"Nevada, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect damages | Cap: the amount of the cost of the products",NOT FOUND,DGT Corp | Dolphin Industries Limited,NOT FOUND
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement","December 01, 2015","December 01, 2015","November 30, 2016",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Bosch International, LLC / XLI Technologies, Inc | RMF Empire, Inc",NOT FOUND
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT,NOT FOUND,NOT FOUND,See Contract Terms,"Texas, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Lost Profits damages",NOT FOUND,Martin Operating Partnership L.P. | Midstream Fuel Service LLC,NOT FOUND
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,NOT FOUND,NOT FOUND,"December 31, 2034","Ohio, United States",IP Non-Challenge Clause (not indemnification),NOT FOUND,NOT FOUND,"NATIONAL FOOTBALL MUSEUM, INC. | HOF Village, LLC | HOF Village Media Group, LLC",NOT FOUND
