contract_id,Agreement Date,Effective Date,Expiration Date,Governing Law,Indemnification,Limitation Of Liability,Non-Compete,Parties,Termination For Convenience
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT,"December 23, 2003","December 23, 2003","3-Year (36 months) Initial Term, Auto-Renewal","Texas, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Lost Profits",NOT FOUND,Martin Operating Partnership L.P | Midstream Fuel Service LLC,NOT FOUND
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT,"January 11, 2001",NOT FOUND,NOT FOUND,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits | Exceptions: Confidentiality Breach",NOT FOUND,Challenge Bioproducts Corporation Ltd | MediWound Ltd,Yes | Notice: 6 months
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT","February 03, 2010","February 03, 2010",3-Year (36 months) Initial Term,"North Carolina, United States",NOT FOUND,"Yes | Excludes: Incidental, Indirect | Remedy: Direct Damages Only",NOT FOUND,"DoctorDirectory.com, Inc | MiddleBrook Pharmaceuticals, Inc",NOT FOUND
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,NOT FOUND,NOT FOUND,20-Year (240 months) Initial Term,United States (Federal Trademark Law),NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect | Exceptions: Gross Negligence, Indemnification | Remedy: Direct Damages Only",Yes | Restricted Party: Franchisee | Duration: during the term | Scope: Non-Solicitation,"Pretzel Time, Inc",Yes | Notice: 30 days
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement","February 13, 2018","February 13, 2018",5-Year (60 months) Initial Term,"New York, United States",Yes | Explicit indemnification / defense / hold harmless obligations,"Yes | Excludes: Consequential, Incidental, Indirect | Exceptions: Willful Misconduct, Gross Negligence, IP Infringement, Indemnification | Remedy: Direct Damages Only",NOT FOUND,"Bachem Americas, Inc | Magenta Therapeutics, Inc",Yes | Without Cause
"MetLife, Inc. - Remarketing Agreement","August 26, 2014",NOT FOUND,Event-Based Termination,"New York, United States",NOT FOUND,Yes,NOT FOUND,"Deutsche Bank Securities Inc | Deutsche Bank Trust Company America | MetLife, Inc",NOT FOUND
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,"NOT FOUND (2019, day/month redacted",NOT FOUND,Perpetual,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Indemnification",NOT FOUND,Morgan Stanley Direct Lending Fund | Morgan Stanley Investment Management Inc,Yes | Notice: Immediate | Without Cause
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,"October 24, 2005",NOT FOUND,"5-Year (60 months) Initial Term, Auto-Renewal","Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Personal Injury, Personal Injury/Death",NOT FOUND,"ALFA AESAR | JOHNSON MATTHEY CATALOG COMPANY, INC | Nanophase Technologies Corporation",Yes | Notice: 6 months | Either Party | Without Cause
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,"March 27, 2020",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Shelby J. Butterfield,NOT FOUND
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment,"January 01, 1999","January 01, 1999","March 28, 2004","Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"NEON Systems, Inc | Peregrine/Bridge Transfer Corporation",NOT FOUND
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR","October 01, 1996","October 01, 1996",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Ingram Micro | NETGEAR, Inc",NOT FOUND
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT","November 05, 1996","March 01, 1996","1-Year (12 months) Initial Term, Auto-Renewal","California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits | Exceptions: IP Infringement",NOT FOUND,"Ingram Micro | NETGEAR, Inc",Yes | Notice: 90 days | Either Party | Without Cause
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,"January 21, 2002","January 21, 2002","3-Year (36 months) Initial Term, Auto-Renewal",Israel,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect | Exceptions: IP Infringement | Remedy: Direct Damages Only",NOT FOUND,Flextronics Israel Ltd | Nice Systems Ltd,Yes | Notice: 45 days | Without Cause
NUVEEN - REMARKETING AGREEMENT,NOT FOUND,NOT FOUND,Event-Based Termination,"New York, United States",Bankruptcy Non-Petition Covenant (not indemnification),NOT FOUND,NOT FOUND,"Nuveen AMT-Free Municipal Credit Income Fund | Nuveen Fund Advisors, LLC",NOT FOUND
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,"January 01, 1998","January 01, 1998",Co-terminous with Related Agreement,"Massachusetts, United States",NOT FOUND,NOT FOUND,NOT FOUND,"FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC | NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION",NOT FOUND
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement","September 25, 2018","September 25, 2018",Co-terminous with Related Agreement,United Kingdom,NOT FOUND,NOT FOUND,NOT FOUND,"Oaktree Capital Management (International) Limited | Oaktree Capital Management, L.P",Yes | Notice: 30 days | Without Cause
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT","July 31, 2000","July 31, 2000",3-Year (36 months) Initial Term,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits | Exceptions: IP Infringement, Indemnification",NOT FOUND,"E.PIPHANY, INC | HIGH SPEED NET SOLUTIONS, INC",NOT FOUND
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT","April ____, 2005",NOT FOUND,18-Month Initial Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"On2 Technologies, Inc | Wildform, Inc",NOT FOUND
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"April 01, 2019","April 01, 2019","March 28, 2020",India,NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Indirect | Exceptions: Confidentiality Breach | Remedy: Direct Damages Only",NOT FOUND,"Mobimagic Co., Ltd | PC Financial Services Private Limited",NOT FOUND
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT,NOT FOUND,NOT FOUND,1-Year (12 months) Initial Term,NOT FOUND,NOT FOUND,NOT FOUND,Yes | Scope: Non-Solicitation,UTEK Corporation | World Energy Solutions,NOT FOUND
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,"April 14, 2000",NOT FOUND,NOT FOUND,Hong Kong,NOT FOUND,NOT FOUND,NOT FOUND,"American Champion Media, Inc | Shun Li De Commerce & Trading Ltd",NOT FOUND
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"May 12, 2020","May 12, 2020",NOT FOUND,"Pennsylvania, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Marv Enterprises, LLC | Premier Biomedical, Inc | Technology Health, Inc",NOT FOUND
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,"November 03, 2005",NOT FOUND,Until Completion of Program/Milestones,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,PACIFICAP ENTERTAINMENT | THE HENRY FILM AND ENTERTAINMENT CORPORATION,NOT FOUND
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement,NOT FOUND,NOT FOUND,Event-Based Termination,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Palmer Square Capital BDC Inc | Palmer Square Capital Management LLC,NOT FOUND
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement,"March 15, 2019","March 15, 2019","March 15, 2022","Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Special",Yes | Restricted Party: Either Party | Duration: during the term | Scope: Exclusivity,"ABG-Shaq, LLC | Papa John s International, Inc",NOT FOUND
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"PELICAN DELIVERS INC | SEATTLE SOFTWARE DEVELOPERS, Inc",NOT FOUND
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2,"December 03, 2018","December 03, 2018",Until Completion of Program/Milestones,"Washington, United States",NOT FOUND,NOT FOUND,NOT FOUND,Pelican Delivers Inc,Yes | Notice: 14 days | Either Party | Without Cause
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,"April 14, 2015","April 14, 2015",15-Year (180 months) Initial Term,"Texas, United States",Yes | Explicit indemnification / defense / hold harmless obligations,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Indemnification",NOT FOUND,"MRD Operating LLC | PennTex North Louisiana Operating, LLC",NOT FOUND
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,NOT FOUND,NOT FOUND,10-Year (120 months) Initial Term,"Florida, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Exemplary",Yes | Restricted Party: Franchisee | Duration: during the term | Scope: Exclusivity,"Pizza Fusion Holding, Inc",NOT FOUND
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Franchisee Name Not Specified | Pizza Fusion Holding, Inc",NOT FOUND
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,"March 19, 2020",NOT FOUND,"March 18, 2021","Texas, United States",NOT FOUND,NOT FOUND,Yes | Restricted Party: Distributor | Duration: during the term of this agreement | Scope: Competitive Products Restriction,"Co-Diagnostics, Inc | PreCheck Health Services, Inc",Yes | Notice: 30 days | Either Party | Without Cause
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,NOT FOUND,NOT FOUND,NOT FOUND,"Iowa, United States",NOT FOUND,NOT FOUND,NOT FOUND,ABC Company | Principal Life Insurance Company | Princor Financial Services Corporation,NOT FOUND
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,"September 24, 2013","September 24, 2013",10-Year (120 months) Initial Term,Israel,NOT FOUND,NOT FOUND,NOT FOUND,Argo Medical Technologies Ltd | Yaskawa Electric Corporation,NOT FOUND
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT,"March 21, 2008","November 01, 2007","October 28, 2008","California, United States",NOT FOUND,NOT FOUND,Yes | Duration: during the term | Scope: Exclusivity,Rubio's Fresh Mexican Grill | SAN DIEGO BALLPARK FUNDING LLC,NOT FOUND
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement,"October 02, 2017",NOT FOUND,6-Year (72 months) Initial Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Rare Element Resources Ltd,NOT FOUND
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,"October 11, 2019","October 11, 2019",1-Year (12 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Indemnification",NOT FOUND,"B C Marketing Concepts Inc | Reed's, Inc",NOT FOUND
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"November 01, 2019","November 01, 2019",Co-terminous with Related Agreement,"Illinois, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect | Exceptions: IP Infringement, Indemnification | Remedy: Direct Damages Only",NOT FOUND,PACTIV LLC | REYNOLDS CONSUMER PRODUCTS LLC,NOT FOUND
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement,"November 17, 2015","January 01, 2016","January 01, 2016",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"ROANOKE GAS COMPANY | TOWN OF VINTON, VIRGINIA",NOT FOUND
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,"May 01, 2012","May 01, 2012",1-Year (12 months) Initial Term,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Advantus Capital Management, Inc | Securian Financial Services, Inc | Securian Funds Trust | Trust's Advantus Money Market Fund",NOT FOUND
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,"December 17, 2018","December 17, 2018",1-Year (12 months) Initial Term,China,NOT FOUND,"Yes | Excludes: Punitive, Indirect, Lost Profits, Loss of Data | Exceptions: Confidentiality Breach",Yes,"Didi Chuxing Technology Co., Ltd | Hunan Ruixi Financial Leasing Co., Ltd",Yes | Notice: 15 days | Either Party
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,"March 30, 2011","March 30, 2011",1-Year (12 months) Initial Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"American General Life Insurance Company | American International Group, Inc",NOT FOUND
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement","November 30, 2017",NOT FOUND,"1-Year (12 months) Initial Term, Auto-Renewal","Texas, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Bravatek Solutions, Inc | Sibannac, Inc",NOT FOUND
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT,NOT FOUND,NOT FOUND,3-Year (36 months) Initial Term,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Aitan Zacharin | Slinger Bag Inc,Yes | Notice: 120 days | Initiating Party: Company
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules,NOT FOUND,"October 06, 2000",2-Year (24 months) Initial Term,NOT FOUND,NOT FOUND,"Yes | Excludes: Consequential, Indirect | Remedy: Direct Damages Only",NOT FOUND,Sicap Ltd,NOT FOUND
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,NOT FOUND,NOT FOUND,Perpetual,Canada,NOT FOUND,"Yes | Excludes: Consequential, Indirect, Lost Profits, Lost Revenue, Loss of Data, Loss of Use",NOT FOUND,"GARMAN ROUTING SYSTEMS, INC | SPARKLING SPRING WATER GROUP LIMITED",Yes | Notice: 90 calendar days | Initiating Party: Sparkling
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,"August 04, 1997","August 04, 1997",Until Terminated,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits",NOT FOUND,"D2 Technologies, Inc | Summa Four Inc",Yes | Notice: 90 days | Initiating Party: Licensee
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"salesforce.com, inc",NOT FOUND
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,"January 22, 2007","January 22, 2007",2-Year (24 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Indirect, Lost Profits | Exceptions: IP Infringement, Indemnification",NOT FOUND,"Cisco Systems, Inc | ScanSource, Inc",Yes | Either Party | Without Cause
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,NOT FOUND,NOT FOUND,Until Terminated,"California, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect | Remedy: Direct Damages Only",NOT FOUND,"Cisco Systems, Inc",NOT FOUND
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT","April 28, 2017","April 28, 2017",3-Year (36 months) Initial Term,"California, United States",Yes | Explicit indemnification / defense / hold harmless obligations,NOT FOUND,"Yes | Duration: during the term | Scope: Non-Competition, Competitive Products Restriction","Imprimis Pharmaceuticals, Inc | SightLife Surgical, Inc",Yes | Either Party | Without Cause
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,NOT FOUND,NOT FOUND,Until Terminated,Germany,NOT FOUND,Yes | Excludes: Lost Profits,NOT FOUND,element 5 GmbH | Software Publishers | Web site owners (Affiliates,Yes | Either Party | Without Cause
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT,"April 18, 2000","April 18, 2000",25-Year (300 months) Initial Term,NOT FOUND,Yes | Explicit indemnification / defense / hold harmless obligations,"Yes | Excludes: Consequential, Indirect | Remedy: Direct Damages Only",NOT FOUND,"Advantage Telecommunications Ltd | APT Satellite Telecommunications Limited | Bayan Telecommunications, Inc | Cable & Wireless Global Network Limited | Cable & Wireless HKT international Limited | China Netcom Corporation Ltd | China Telecom | China United Telecommunications Corporation | Chunghwa Telecom Co., Ltd | Concert Global Network Services, Ltd | CTI International Limited | Dacom Corporation | Eastern Telecommunications Philippines, Incorporated | edge2net Inc | Global Access Ltd | Global One Communications Network, Inc | Globe Telecom, Inc | GNG Networks. Inc | GTE Intelligent Network Service Incorporated | Japan Telecom Co., Ltd | KDD Corporation | Korea Telecom | KPN Telecom B.V | Layer 2 Communications Group Ltd | Maxis International Sdn. Bhd | MCI International Telecommunications. Inc | Metromedia Fiber Network Services, Inc | New Century InfoComm Ltd., Preparatory Office | New World Telephone Limited | NTT Com Asia Ltd | NTT Communications Corporation | Onelink Cable Network Limited | Onse Telecom Corporation | Philippine Long Distance Telephone Company | PT Indosat (Persero) Tbk | Singapore Telecommunications Limited | StarHub Pte Ltd | Taiwan Fixed Network Co., Ltd. Preparatory Office | Teleglobe USA Inc | Telekom Malaysia Berhad (128740-P | Telia AB (publ | Telstra Global Networks Limited | TT dotCom Sdn Bhd | Williams Communications, Inc",Yes | Either Party
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement,"December 14, 2015","November 01, 2016","October 28, 2017","Michigan, United States",NOT FOUND,NOT FOUND,NOT FOUND,ANR PIPELINE COMPANY | Great Lakes Gas Transmission Limited Partnership,NOT FOUND
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,"December 20, 2018","December 20, 2018",5-Year (60 months) Initial Term,Israel,Yes | Explicit indemnification / defense / hold harmless obligations,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect, Lost Profits | Exceptions: Confidentiality Breach, IP Infringement, Indemnification",Yes | Scope: Exclusivity,Care G. B. Plus Ltd | Todos Medical Ltd,NOT FOUND
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT,"March 13, 2014",NOT FOUND,NOT FOUND,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,JANA Partners LLC | URS Corporation,NOT FOUND
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,NOT FOUND,NOT FOUND,4-Year (48 months) Initial Term,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Exemplary, Indirect, Special, Lost Profits | Exceptions: Willful Misconduct, Gross Negligence, Fraud, Confidentiality Breach, IP Infringement, Indemnification","Yes | Scope: Exclusivity, Non-Solicitation, No-Hire",Pfizer Inc | Upjohn Inc,NOT FOUND
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,NOT FOUND,NOT FOUND,6-Month Initial Term,"Texas, United States",NOT FOUND,NOT FOUND,Yes | Duration: during the term | Scope: Non-Solicitation,"NETWORK 1 FINANCIAL, INC | Payment Data Systems, Inc",NOT FOUND
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,"February 18, 2014","February 18, 2014",Perpetual,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,"American General Life Insurance Company | American International Group, Inc",NOT FOUND
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","October 30, 2019","October 30, 2019",Event-Based Termination,Japan,NOT FOUND,NOT FOUND,NOT FOUND,"Nissin Kogyo Co., Ltd | Nissin Kogyo Holdings | Veoneer AB | Veoneer US, Inc | Zhongshan Nissin Industry Co., Ltd",NOT FOUND
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,"May 06, 2019","May 06, 2019",5-Year (60 months) Initial Term,"New York, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Lost Profits",NOT FOUND,MediWound Ltd | Vericel Corporation,Yes | Without Cause
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,"November 03, 2010","November 03, 2010",Co-terminous with Related Agreement,"Delaware, United States",NOT FOUND,"Yes | Excludes: Consequential, Punitive, Exemplary, Indirect, Lost Profits | Exceptions: Gross Negligence",NOT FOUND,"MAGELLAN TERMINALS HOLDINGS, L.P | OMEGA REFINING, LLC",Yes | Notice: 7 days | Without Cause
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT,"October 09, 2001","October 01, 2001","March 28, 2003","Pennsylvania, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Exemplary, Lost Profits/Revenue damages | Cap: (I) WITH RESPECT TO ANY ENHANCEMENT PROVIDED HEREUNDER, THE AMOUNTS PAID BY CONVERGE TO VERT FOR SUCH ENHANCEMENT, AND (II) WITH RESPECT TO","Yes | Scope: Non-Solicitation, No-Hire","Converge, Inc | VerticalNet Enterprises LLC",NOT FOUND
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT","April 08, 2020",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"SCULPTOR CAPITAL HOLDING CORPORATION | SCULPTOR CAPITAL LP | SCULPTOR MANAGEMENT, INC | SCULPTOR MASTER FUND LTD",NOT FOUND
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement,"January 29, 2020",NOT FOUND,Event-Based Termination,"New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,Cellco Partnership (Verizon Wireless | VERIZON ABS LLC | VERIZON OWNER TRUST 2020-A,NOT FOUND
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,"April 27, 2006","April 01, 2006","April 01, 2009","New York, United States",NOT FOUND,NOT FOUND,NOT FOUND,UBS AG | Wells Fargo Bank,NOT FOUND
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",NOT FOUND,"August 01, 2011",2-Year (24 months) Initial Term,United Kingdom,NOT FOUND,"Yes | Excludes: Consequential, Indirect, Lost Profits | Exceptions: Fraud, IP Infringement, Personal Injury, Personal Injury/Death",NOT FOUND,Google Inc | Whitesmoke Inc,NOT FOUND
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,NOT FOUND,NOT FOUND,1-Year (12 months) Initial Term,"Colorado, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Indirect | Remedy: Direct Damages Only","Yes | Restricted Party: Reseller | Scope: Non-Solicitation, No-Hire",TOUCHSTAR SOFTWARE CORPORATION | WORLDWIDE STRATEGIES,Yes | Notice: 15 days | Without Cause
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,"October 01, 2019","January 27, 2020",Until Terminated,United Kingdom,NOT FOUND,NOT FOUND,"Yes | Scope: Non-Solicitation, No-Hire",JOHN ROGERS | WPP 2005 LIMITED,Yes | Notice: 12 months | Either Party
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement","December 01, 2015","December 01, 2015","November 28, 2016",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"Bosch International, LLC / XLI Technologies, Inc | RMF Empire, Inc",NOT FOUND
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"April 14, 2014","April 14, 2014",Perpetual,"Delaware, United States",NOT FOUND,NOT FOUND,NOT FOUND,"Motorola Solutions, Inc | Zebra Technologies Corporation",NOT FOUND
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT","October 03, 2018","October 03, 2018",10-Year (120 months) Initial Term,"Arizona, United States",NOT FOUND,"Yes | Excludes: Consequential, Incidental, Punitive, Special, Cover Damages","Yes | Restricted Party: Either Party | Scope: Non-Solicitation, No-Hire","InnerScope Hearing Technologies, Inc | Zounds Hearing, Inc",NOT FOUND
